PROSPECTID,time_since_recent_payment,time_since_first_deliquency,time_since_recent_deliquency,num_times_delinquent,max_delinquency_level,max_recent_level_of_deliq,num_deliq_6mts,num_deliq_12mts,num_deliq_6_12mts,max_deliq_6mts,max_deliq_12mts,num_times_30p_dpd,num_times_60p_dpd,num_std,num_std_6mts,num_std_12mts,num_sub,num_sub_6mts,num_sub_12mts,num_dbt,num_dbt_6mts,num_dbt_12mts,num_lss,num_lss_6mts,num_lss_12mts,recent_level_of_deliq,tot_enq,CC_enq,CC_enq_L6m,CC_enq_L12m,PL_enq,PL_enq_L6m,PL_enq_L12m,time_since_recent_enq,enq_L12m,enq_L6m,enq_L3m,MARITALSTATUS,EDUCATION,AGE,GENDER,NETMONTHLYINCOME,Time_With_Curr_Empr,pct_of_active_TLs_ever,pct_opened_TLs_L6m_of_L12m,pct_currentBal_all_TL,CC_utilization,CC_Flag,PL_utilization,PL_Flag,pct_PL_enq_L6m_of_L12m,pct_CC_enq_L6m_of_L12m,pct_PL_enq_L6m_of_ever,pct_CC_enq_L6m_of_ever,max_unsec_exposure_inPct,HL_Flag,GL_Flag,last_prod_enq2,first_prod_enq2,Credit_Score,Approved_Flag
45376,73.0,35,33,3,64,3,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,3,10,0,0,0,3,2,3,7.0,8,6,2,Single,12TH,28,M,25000,29,0.455,0.4,0.437,0.0,0,0.0,0,0.667,0.0,0.667,0.0,3.672,1,0,PL,ConsumerLoan,651,P4
14578,55.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,4,4,4,2.0,10,9,5,Married,SSC,46,M,40000,186,1.0,0.6,0.788,0.0,0,1.0,1,1.0,0.0,1.0,0.0,1.921,1,0,ConsumerLoan,ConsumerLoan,647,P4
22417,297.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,1.0,4,3,3,Married,GRADUATE,22,M,16000,62,1.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,1.82,0,0,ConsumerLoan,others,655,P4
47662,70.0,21,21,2,55,55,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,55,4,0,0,0,2,2,2,15.0,4,2,2,Married,POST-GRADUATE,28,M,12000,240,0.0,0.667,0.0,0.0,0,0.0,0,1.0,0.0,1.0,0.0,1.82,1,0,PL,others,649,P4
226,135.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,1,1,1,4.0,4,3,3,Single,GRADUATE,22,F,16400,40,0.0,0.0,0.0,0.0,0,0.0,0,1.0,0.0,1.0,0.0,1.82,0,0,ConsumerLoan,ConsumerLoan,649,P4
1802,36.0,4,4,1,28,28,1,1,0,28,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,4,0,0,0,0,0,0,4.0,4,4,2,Married,12TH,29,M,17000,94,1.0,1.0,0.646,0.0,0,0.0,0,0.0,0.0,0.0,0.0,2.498,0,0,ConsumerLoan,ConsumerLoan,658,P4
46074,88.0,35,35,1,30,30,0,0,0,0,0,0,0,37,0,6,0,0,0,0,0,0,0,0,0,30,4,0,0,0,1,0,1,234.0,1,0,0,Married,OTHERS,25,M,12500,71,0.111,0.0,0.3,0.0,0,0.0,0,0.0,0.0,0.0,0.0,1.119,1,0,PL,others,657,P4
41149,49.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,1,1,1,84.0,3,2,1,Married,UNDER GRADUATE,35,M,20000,191,0.8,1.0,0.94,0.0,0,0.976,1,1.0,0.0,1.0,0.0,5.569,0,0,PL,ConsumerLoan,663,P3
15652,25.0,10,2,2,218,218,1,2,1,59,218,2,1,8,4,8,0,0,0,0,0,0,0,0,0,59,4,0,0,0,1,1,1,1.0,4,4,3,Married,UNDER GRADUATE,52,M,35000,130,0.5,1.0,1.01,0.0,0,0.0,0,1.0,0.0,1.0,0.0,1.82,1,0,others,PL,634,P4
1610,93.0,9,9,1,9,9,0,1,1,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,2,0,0,0,0,0,0,2.0,1,1,1,Married,12TH,37,M,15000,60,0.5,0.0,0.067,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.8,0,0,others,ConsumerLoan,654,P4
17242,65.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,2,0,2,49.0,5,3,3,Married,GRADUATE,30,M,30000,182,0.556,0.5,0.861,0.0,0,0.905,1,0.0,0.0,0.0,0.0,7.733,0,0,ConsumerLoan,ConsumerLoan,660,P3
20819,77.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1,0,0,6,0,0,412.0,0,0,0,Married,GRADUATE,28,M,30000,191,0.667,0.0,0.438,0.206,1,0.456,1,0.0,0.0,0.0,0.0,7.189,0,0,CC,PL,682,P2
7794,30.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,1,0,1,23.0,5,2,2,Married,UNDER GRADUATE,37,M,40000,124,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,1.82,0,0,others,others,663,P3
32375,4.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,3,2,3,2.0,4,3,3,Single,12TH,23,M,25000,70,0.333,0.5,1.0,0.0,0,0.0,1,0.667,0.0,0.667,0.0,1.04,0,0,others,ConsumerLoan,653,P4
41729,53.0,33,11,5,115,25,0,1,1,0,7,3,2,0,0,0,0,0,0,0,0,0,0,0,0,7,17,0,0,0,1,0,1,47.0,8,5,3,Married,SSC,29,M,25000,75,0.333,0.2,0.686,0.0,0,0.906,1,0.0,0.0,0.0,0.0,5.436,1,0,ConsumerLoan,others,658,P4
29882,52.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,140.0,1,1,0,Married,SSC,35,M,14500,148,1.0,1.0,0.916,0.0,0,0.0,0,0.0,0.0,0.0,0.0,3.448,0,0,others,others,683,P2
10834,830.0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,3.0,1,1,1,Single,12TH,23,M,25000,58,0.0,0.0,0.0,0.0,0,0.0,0,1.0,0.0,1.0,0.0,1.82,0,0,PL,PL,657,P4
7585,59.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,1,1,1,10.0,5,4,4,Married,SSC,31,F,26000,176,0.0,0.0,0.0,0.0,0,0.0,0,1.0,0.0,1.0,0.0,1.82,0,0,ConsumerLoan,others,646,P4
23561,48.0,3,3,1,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,28,0,0,0,9,3,4,25.0,17,11,7,Married,POST-GRADUATE,46,M,50000,186,0.8,0.75,0.971,0.0,0,0.0,0,0.75,0.0,0.333,0.0,5.02,0,0,others,others,656,P4
27066,48.0,35,25,4,101,71,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,71,20,9,0,0,10,0,0,4.0,1,1,1,Married,GRADUATE,32,M,43500,113,0.217,0.0,0.574,0.958,1,0.772,1,0.0,0.0,0.0,0.0,8.611,1,0,ConsumerLoan,CC,668,P3
23339,68.0,0,0,0,0,0,0,0,0,0,0,0,0,29,4,10,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,5.0,1,1,1,Single,12TH,28,M,14000,38,0.5,0.0,0.31,0.0,0,0.0,0,1.0,0.0,1.0,0.0,3.571,0,0,PL,PL,680,P2
41881,74.0,11,8,2,31,28,0,2,2,0,31,1,0,11,4,8,0,0,0,0,0,0,0,0,0,28,16,9,3,5,6,3,6,9.0,11,6,5,Single,12TH,25,M,25000,42,1.0,0.0,0.813,0.0,0,0.0,0,0.5,0.6,0.5,0.333,2.0,0,0,CC,CC,645,P4
45328,448.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,3.0,1,1,1,Single,GRADUATE,24,F,30000,55,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,1.82,0,0,ConsumerLoan,ConsumerLoan,675,P2
33461,51.0,25,25,1,25,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,2,0,0,0,0,0,0,664.0,0,0,0,Single,12TH,29,M,30000,98,0.267,0.769,0.5,0.0,0,0.0,0,0.0,0.0,0.0,0.0,2.024,1,0,others,ConsumerLoan,664,P3
23195,60.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,2,1,2,4,0,2,1.0,10,5,5,Single,GRADUATE,27,M,20000,50,0.474,0.25,0.474,0.0,0,0.856,1,0.0,0.5,0.0,0.5,10.169,1,0,ConsumerLoan,ConsumerLoan,656,P4
43531,148.0,8,7,2,89,29,0,2,2,0,89,1,1,12,5,9,0,0,0,0,0,0,0,0,0,29,9,1,0,1,0,0,0,67.0,5,4,3,Married,OTHERS,27,M,24500,152,0.667,0.0,0.994,0.0,1,0.0,0,0.0,0.0,0.0,0.0,0.0,0,1,others,AL,657,P4
22873,354.0,19,2,17,545,27,4,10,6,119,301,16,15,0,0,0,0,0,0,0,0,0,0,0,0,27,3,0,0,0,0,0,0,627.0,0,0,0,Married,SSC,33,F,35000,243,1.0,0.0,0.049,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.524,0,0,ConsumerLoan,ConsumerLoan,634,P4
3590,67.0,2,2,1,14,14,1,1,0,14,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,2,0,0,0,1,1,1,2.0,2,2,2,Single,UNDER GRADUATE,24,F,12500,42,1.0,0.0,0.105,0.0,0,0.0,0,1.0,0.0,1.0,0.0,0.152,0,0,others,PL,654,P4
12825,65.0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,0,0,0,0,0,0,0,0,0,0,12,5,2,2,5,4,5,47.0,7,6,5,Married,POST-GRADUATE,27,M,15000,37,1.0,0.5,0.998,0.929,1,1.0,1,0.8,1.0,0.8,0.4,7.863,0,0,PL,others,650,P4
8518,54.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,1,1,1,6.0,3,3,3,Married,GRADUATE,43,M,11000,83,1.0,0.0,0.263,0.0,0,0.0,0,1.0,0.0,1.0,0.0,1.82,0,0,PL,others,665,P3
41511,69.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,5.0,4,4,4,Married,GRADUATE,39,M,25000,62,1.0,1.0,1.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.716,0,0,ConsumerLoan,ConsumerLoan,657,P4
6689,74.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,2,2,64.0,2,2,2,Married,OTHERS,44,M,30000,250,1.0,1.0,1.0,0.0,0,1.0,1,1.0,0.0,1.0,0.0,6.667,0,0,PL,PL,661,P3
34352,32.0,24,22,3,84,23,0,0,0,0,0,2,1,70,4,10,0,0,0,0,0,0,0,0,0,23,29,4,3,3,11,8,11,9.0,27,24,21,Married,GRADUATE,30,M,30000,71,0.947,0.75,0.738,0.0,0,0.792,1,0.727,1.0,0.727,0.75,3.05,0,1,others,CC,563,P4
6656,60.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,1,1,1,4,4,4,121.0,9,9,0,Married,12TH,30,M,38000,242,1.0,1.0,0.61,0.0,0,0.68,1,1.0,1.0,1.0,1.0,0.482,0,0,others,PL,664,P3
19272,74.0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,4,1,1,1,3,3,3,50.0,4,4,4,Married,GRADUATE,33,M,52500,14,1.0,1.0,1.0,0.0,0,1.0,1,1.0,1.0,1.0,1.0,2.857,0,0,PL,CC,642,P4
17397,257.0,35,2,15,263,21,4,10,6,113,263,12,8,0,0,0,0,0,0,0,0,0,0,0,0,21,2,0,0,0,0,0,0,1.0,1,1,1,Married,UNDER GRADUATE,27,F,8000,14,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,1.82,0,0,ConsumerLoan,others,633,P4
4269,45.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,707.0,0,0,0,Married,SSC,35,M,30000,128,1.0,0.0,0.596,0.0,0,0.0,0,0.0,0.0,0.0,0.0,1.82,0,0,others,others,681,P2
20256,236.0,21,19,3,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,3,0,0,0,0,0,0,3.0,2,2,2,Married,SSC,43,M,22000,263,1.0,0.0,0.105,0.0,0,0.0,0,0.0,0.0,0.0,0.0,1.82,0,0,others,others,646,P4
48312,276.0,0,0,0,0,0,0,0,0,0,0,0,0,67,5,18,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1.0,1,1,1,Married,UNDER GRADUATE,43,F,24000,125,0.167,0.0,1.044,0.0,0,0.0,0,0.0,0.0,0.0,0.0,1.82,1,0,ConsumerLoan,ConsumerLoan,691,P2
5692,477.0,35,35,1,30,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,6,0,0,0,2,2,2,127.0,2,2,0,Married,OTHERS,35,M,30000,17,0.5,0.0,0.0,0.0,0,0.0,0,1.0,0.0,1.0,0.0,1.82,1,0,PL,others,642,P4
12361,36.0,10,8,3,42,25,0,3,3,0,42,1,0,0,0,0,0,0,0,0,0,0,0,0,0,25,17,1,1,1,3,2,2,2.0,13,8,3,Married,SSC,30,M,38000,69,1.0,0.667,0.431,0.0,0,0.0,0,1.0,1.0,0.667,1.0,2.06,0,0,ConsumerLoan,ConsumerLoan,652,P4
20130,55.0,19,6,2,19,19,0,1,1,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,8,0,0,0,3,3,3,13.0,7,6,2,Married,12TH,29,F,15000,56,0.667,0.5,0.921,0.0,0,0.0,0,1.0,0.0,1.0,0.0,0.667,0,0,PL,ConsumerLoan,650,P4
30804,49.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,2,2,2,5,2,4,12.0,22,16,9,Married,12TH,48,F,35000,37,1.0,0.714,0.817,1.0,1,0.0,0,0.5,1.0,0.4,1.0,22.336,0,0,PL,others,643,P4
33457,73.0,21,21,1,60,60,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,60,9,1,0,0,7,4,6,27.0,6,4,1,Single,GRADUATE,23,M,38000,54,0.345,0.533,0.244,0.0,0,0.882,1,0.667,0.0,0.571,0.0,1.971,1,0,PL,others,655,P4
10496,62.0,10,5,6,58,27,1,6,5,27,58,1,0,1,0,1,0,0,0,0,0,0,0,0,0,27,12,0,0,0,4,4,4,11.0,5,5,2,Married,SSC,31,M,20000,68,1.0,0.75,0.451,0.0,0,0.0,0,1.0,0.0,1.0,0.0,2.853,0,0,PL,ConsumerLoan,654,P4
23008,59.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,10,6,9,11,3,10,14.0,31,15,9,Single,GRADUATE,24,M,23000,26,0.667,0.6,0.668,0.0,0,0.764,1,0.3,0.667,0.273,0.6,6.526,0,0,ConsumerLoan,ConsumerLoan,646,P4
688,483.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,87.0,1,1,1,Single,POST-GRADUATE,34,M,20700,33,0.077,0.0,0.0,0.0,0,0.0,0,1.0,0.0,1.0,0.0,1.82,1,0,PL,PL,668,P3
28704,74.0,15,15,1,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,85.0,1,1,1,Married,GRADUATE,39,M,30000,202,1.0,1.0,0.604,0.0,0,0.0,0,0.0,0.0,0.0,0.0,6.667,0,0,others,others,658,P4
47701,85.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,4.0,4,4,4,Single,GRADUATE,27,M,28000,89,1.0,0.0,0.532,0.0,0,0.0,0,0.0,0.0,0.0,0.0,1.82,0,0,ConsumerLoan,others,659,P3
9016,45.0,12,4,16,54,28,2,15,13,3,54,2,0,0,0,0,0,0,0,0,0,0,0,0,0,3,27,9,0,5,9,5,7,26.0,19,9,5,Single,UNDER GRADUATE,26,M,17000,42,1.0,1.0,0.412,0.231,1,0.0,0,0.714,0.0,0.556,0.0,8.977,0,0,PL,CC,638,P4
27319,657.0,35,4,10,31,31,1,1,0,29,29,1,0,18,4,9,0,0,0,0,0,0,0,0,0,29,4,0,0,0,2,1,1,22.0,3,3,3,Married,GRADUATE,47,M,35000,330,0.5,0.0,0.619,0.0,0,0.619,1,1.0,0.0,0.5,0.0,11.429,0,0,PL,PL,662,P3
40422,49.0,35,12,3,28,5,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,5,15,0,0,0,2,1,1,7.0,6,3,3,Married,GRADUATE,25,M,35000,25,0.5,0.667,0.588,0.0,0,0.0,0,1.0,0.0,0.5,0.0,1.137,0,0,PL,others,668,P3
27726,655.0,33,33,1,60,60,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,60,1,0,0,0,0,0,0,1295.0,0,0,0,Single,GRADUATE,23,M,20000,60,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,1.82,0,0,AL,AL,656,P4
35621,61.0,1,1,1,16,16,1,1,0,16,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,8,0,0,0,1,1,1,11.0,8,8,7,Married,SSC,24,M,25000,86,1.0,1.0,1.146,0.0,0,0.0,0,1.0,0.0,1.0,0.0,6.4,0,0,PL,others,630,P4
43668,466.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,27.0,2,2,2,Single,SSC,24,M,15000,34,0.333,1.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,1,0,ConsumerLoan,ConsumerLoan,668,P3
50178,63.0,10,9,2,48,17,0,2,2,0,48,1,0,6,4,6,0,0,0,0,0,0,0,0,0,17,9,0,0,0,2,2,2,6.0,9,5,3,Married,12TH,33,M,20000,41,0.5,0.0,0.87,0.0,0,0.0,0,1.0,0.0,1.0,0.0,1.82,0,0,ConsumerLoan,others,650,P4
45908,1747.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0.0,3,3,2,Married,SSC,29,M,15000,126,1.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,1.82,0,0,ConsumerLoan,others,666,P3
47076,65.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,1,1,1,3,0,2,36.0,17,8,4,Single,GRADUATE,23,M,21000,74,1.0,0.7,0.697,0.0,1,0.0,0,0.0,1.0,0.0,1.0,6.072,0,0,ConsumerLoan,PL,656,P4
5278,189.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,370.0,0,0,0,Single,12TH,21,M,25000,60,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,1.82,0,0,ConsumerLoan,ConsumerLoan,688,P2
45233,41.0,14,14,1,24,24,0,0,0,0,0,0,0,4,0,2,0,0,0,0,0,0,0,0,0,24,25,1,1,1,15,4,7,33.0,10,6,5,Married,GRADUATE,34,M,25000,48,0.545,0.667,0.619,0.465,1,0.843,1,0.571,1.0,0.267,1.0,11.793,0,0,CC,others,649,P4
47595,58.0,2,2,1,21,21,1,1,0,21,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,6,0,0,0,0,0,0,11.0,6,6,6,Married,12TH,25,M,30000,64,1.0,0.0,0.94,0.0,0,0.0,0,0.0,0.0,0.0,0.0,1.82,0,0,ConsumerLoan,others,641,P4
38430,50.0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,20,5,2,2,11,8,9,16.0,11,10,6,Married,12TH,26,M,35000,130,0.667,0.667,0.745,0.838,1,0.916,1,0.889,1.0,0.727,0.4,3.862,0,0,PL,ConsumerLoan,661,P3
28285,272.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,1,0,0,3,2,3,1.0,5,4,2,Single,GRADUATE,37,F,18000,68,0.667,1.0,1.365,0.0,0,1.0,1,0.667,0.0,0.667,0.0,1.111,0,0,ConsumerLoan,CC,661,P3
13854,49.0,35,35,1,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,12,0,0,0,4,2,2,15.0,6,6,2,Married,SSC,41,M,15000,84,0.409,0.833,0.615,0.0,0,0.745,1,1.0,0.0,0.5,0.0,9.971,1,0,ConsumerLoan,others,644,P4
27910,434.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,84.0,2,1,1,Married,12TH,29,M,15000,60,0.5,1.0,0.833,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.866,0,0,others,ConsumerLoan,674,P2
32885,159.0,6,6,1,46,46,0,1,1,0,46,1,0,0,0,0,0,0,0,0,0,0,0,0,0,46,2,0,0,0,1,1,1,74.0,2,1,1,Married,12TH,28,M,14000,38,1.0,0.5,1.1,0.0,0,1.0,1,1.0,0.0,1.0,0.0,0.714,0,0,PL,others,657,P4
9779,78.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,12.0,3,2,2,Single,GRADUATE,30,M,8017,29,1.0,0.0,0.1,0.0,0,0.0,0,0.0,0.0,0.0,0.0,1.87,0,0,others,others,668,P3
36748,15.0,10,10,1,2,2,0,1,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,2.0,1,1,1,Single,GRADUATE,23,M,15000,65,0.5,0.0,0.468,0.0,0,0.0,0,0.0,0.0,0.0,0.0,1.82,1,0,ConsumerLoan,others,665,P3
